PDB,SDF,REF_SDF
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_1U1C_BAU.sdf,1HWI_115/1HWI_115_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_1V4S_MRK.sdf,1HWI_115/1HWI_115_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_1YQY_915.sdf,1HWI_115/1HWI_115_ligand.sdf
1HWI_115/1HWI_115_protein.pdb,1HWI_115/query_2BSM_BSM.sdf,1HWI_115/1HWI_115_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_1G9V_RQ3.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_1HWI_115.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_1OWE_675.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_1R1H_BIR.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_1S3V_TQD.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_1U1C_BAU.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_1V4S_MRK.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_1YQY_915.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1MZC_BNE/1MZC_BNE_protein.pdb,1MZC_BNE/query_2BSM_BSM.sdf,1MZC_BNE/1MZC_BNE_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_1G9V_RQ3.sdf,1OWE_675/1OWE_675_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_1HWI_115.sdf,1OWE_675/1OWE_675_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_1MZC_BNE.sdf,1OWE_675/1OWE_675_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_1R1H_BIR.sdf,1OWE_675/1OWE_675_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_1S3V_TQD.sdf,1OWE_675/1OWE_675_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_1U1C_BAU.sdf,1OWE_675/1OWE_675_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_1V4S_MRK.sdf,1OWE_675/1OWE_675_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_1YQY_915.sdf,1OWE_675/1OWE_675_ligand.sdf
1OWE_675/1OWE_675_protein.pdb,1OWE_675/query_2BSM_BSM.sdf,1OWE_675/1OWE_675_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_1G9V_RQ3.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_1HWI_115.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_1MZC_BNE.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_1OWE_675.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_1S3V_TQD.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_1U1C_BAU.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_1V4S_MRK.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_1YQY_915.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1R1H_BIR/1R1H_BIR_protein.pdb,1R1H_BIR/query_2BSM_BSM.sdf,1R1H_BIR/1R1H_BIR_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_1G9V_RQ3.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_1HWI_115.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_1MZC_BNE.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_1OWE_675.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_1R1H_BIR.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_1U1C_BAU.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_1V4S_MRK.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_1YQY_915.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1S3V_TQD/1S3V_TQD_protein.pdb,1S3V_TQD/query_2BSM_BSM.sdf,1S3V_TQD/1S3V_TQD_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_1G9V_RQ3.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_1HWI_115.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_1MZC_BNE.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_1OWE_675.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_1R1H_BIR.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_1S3V_TQD.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_1V4S_MRK.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_1YQY_915.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1U1C_BAU/1U1C_BAU_protein.pdb,1U1C_BAU/query_2BSM_BSM.sdf,1U1C_BAU/1U1C_BAU_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_1G9V_RQ3.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_1HWI_115.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_1MZC_BNE.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_1OWE_675.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_1R1H_BIR.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_1S3V_TQD.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_1U1C_BAU.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_1YQY_915.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1V4S_MRK/1V4S_MRK_protein.pdb,1V4S_MRK/query_2BSM_BSM.sdf,1V4S_MRK/1V4S_MRK_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_1G9V_RQ3.sdf,1YQY_915/1YQY_915_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_1HWI_115.sdf,1YQY_915/1YQY_915_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_1MZC_BNE.sdf,1YQY_915/1YQY_915_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_1OWE_675.sdf,1YQY_915/1YQY_915_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_1R1H_BIR.sdf,1YQY_915/1YQY_915_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_1S3V_TQD.sdf,1YQY_915/1YQY_915_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_1U1C_BAU.sdf,1YQY_915/1YQY_915_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_1V4S_MRK.sdf,1YQY_915/1YQY_915_ligand.sdf
1YQY_915/1YQY_915_protein.pdb,1YQY_915/query_2BSM_BSM.sdf,1YQY_915/1YQY_915_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1G9V_RQ3.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1HWI_115.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1MZC_BNE.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1OWE_675.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1R1H_BIR.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1S3V_TQD.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1U1C_BAU.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1V4S_MRK.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
2BSM_BSM/2BSM_BSM_protein.pdb,2BSM_BSM/query_1YQY_915.sdf,2BSM_BSM/2BSM_BSM_ligand.sdf
